172.20.5.6,00-15-77-DB-88-95,n/a
172.20.5.8,EC-CD-6D-03-F3-55,n/a
172.20.5.11,EC-CD-6D-0C-B3-7D,n/a
172.20.5.13,EC-CD-6D-0E-90-D5,n/a
172.20.5.15,00-15-77-F2-8A-0F,n/a
172.20.5.17,00-15-77-E6-94-94,n/a
172.20.5.19,00-15-77-E6-A4-34,n/a
172.20.5.20,00-00-CD-28-C0-2F,n/a
172.20.5.21,00-15-77-E6-8C-DD,n/a
172.20.5.22,EC-CD-6D-0E-8B-76,n/a
172.20.5.24,EC-CD-6D-03-FC-E7,n/a
172.20.5.27,00-15-77-DB-88-72,n/a
172.20.5.29,EC-CD-6D-04-14-89,n/a
172.20.5.32,EC-CD-6D-0C-8F-5B,n/a
172.20.5.35,EC-CD-6D-0E-8E-7D,n/a
172.20.5.38,00-15-77-DB-88-88,n/a
172.20.5.40,00-00-CD-28-C0-13,n/a
172.20.5.41,00-15-77-F2-91-AD,n/a
172.20.5.42,EC-CD-6D-18-2D-79,n/a
172.20.5.43,00-15-77-F2-85-C3,n/a
172.20.5.46,EC-CD-6D-18-34-9A,n/a
172.20.5.47,00-15-77-F2-87-9E,n/a
172.20.5.49,EC-CD-6D-0C-91-04,n/a
172.20.5.150,00-00-CD-28-C0-0D,n/a
172.20.5.151,EC-CD-6D-0E-8E-96,n/a
172.20.5.153,00-15-77-DB-88-59,n/a
172.20.5.156,EC-CD-6D-0C-99-51,n/a
172.20.5.157,EC-CD-6D-0E-AD-59,n/a
172.20.5.159,00-15-77-DB-88-3F,n/a
172.20.5.162,00-15-77-DB-88-B4,n/a
172.20.5.169,EC-CD-6D-04-19-07,n/a
172.20.5.170,00-15-77-DB-88-5B,n/a
172.20.5.172,EC-CD-6D-04-0B-42,n/a
172.20.5.174,00-15-77-DB-88-82,n/a
172.20.5.176,EC-CD-6D-0C-96-F9,n/a
172.20.5.178,00-15-77-F2-8B-54,n/a
172.20.5.179,EC-CD-6D-1C-F4-57,n/a
172.20.5.190,00-00-CD-28-C0-37,n/a
172.20.5.191,EC-CD-6D-1C-DF-18,n/a
172.20.5.193,00-15-77-F2-81-C2,n/a
172.20.5.195,EC-CD-6D-1C-D7-70,n/a
172.20.5.197,EC-CD-6D-0E-8B-5D,n/a
172.20.5.198,EC-CD-6D-0E-A3-F9,n/a
172.20.5.199,EC-CD-6D-04-21-9F,n/a
172.20.5.200,EC-CD-6D-1C-D8-65,n/a
172.20.5.201,EC-CD-6D-1C-F3-F5,n/a
172.20.5.210,00-00-CD-28-C0-4F,n/a
172.20.5.211,00-15-77-DB-88-B7,n/a
172.20.5.212,EC-CD-6D-1C-E0-A0,n/a
172.20.5.213,EC-CD-6D-1C-DC-9B,n/a
172.20.5.215,00-15-77-F2-8A-D7,n/a
172.20.5.217,EC-CD-6D-04-04-E9,n/a
172.20.5.220,EC-CD-6D-0C-B2-E7,n/a
172.20.5.221,00-15-77-F2-90-4F,n/a
172.20.5.224,EC-CD-6D-0C-92-94,n/a
172.20.5.226,EC-CD-6D-0C-B2-CE,n/a
172.20.5.229,00-15-77-F2-8D-48,n/a
172.20.5.240,00-00-CD-29-9D-5D,n/a
172.20.5.241,EC-CD-6D-18-29-F5,n/a
172.20.5.244,00-15-77-DB-88-9B,n/a
172.20.5.246,00-15-77-E6-9B-E7,n/a
172.20.5.248,00-15-77-DB-88-8A,n/a
172.20.5.250,EC-CD-6D-18-2B-B7,n/a
172.20.5.252,EC-CD-6D-04-1D-08,n/a
172.20.5.254,00-15-77-DB-88-4B,n/a
172.20.6.1,00-15-77-DB-88-A2,n/a
172.20.6.2,EC-CD-6D-0E-A8-77,n/a
172.20.6.3,EC-CD-6D-0C-B4-13,n/a
172.20.6.5,00-15-77-DB-88-A3,n/a
172.20.6.7,EC-CD-6D-1C-F5-4C,n/a
172.20.6.9,00-15-77-E6-82-38,n/a
172.20.6.10,00-00-CD-29-9C-03,n/a
172.20.6.12,EC-CD-6D-04-13-44,n/a
172.20.6.13,EC-CD-6D-04-03-8B,n/a
172.20.6.14,00-15-77-F2-94-CD,n/a
172.20.6.15,EC-CD-6D-0E-A8-DB,n/a
172.20.6.16,EC-CD-6D-03-FC-83,n/a
172.20.6.18,EC-CD-6D-1C-F1-47,n/a
172.20.6.20,00-15-77-E6-79-23,n/a
172.20.6.40,00-00-CD-28-C0-31,n/a
172.20.6.41,00-15-77-F2-92-43,n/a
172.20.6.42,00-15-77-DB-88-9F,n/a
172.20.6.44,00-15-77-57-09-98,n/a
172.20.6.46,00-15-77-DB-88-A7,n/a
172.20.6.47,00-15-77-DB-88-BC,n/a
172.20.6.50,EC-CD-6D-0C-A8-A6,n/a
172.20.6.54,00-15-77-F2-90-CC,n/a
172.20.6.55,EC-CD-6D-0E-A2-CD,n/a
172.20.6.56,EC-CD-6D-0E-C1-2C,n/a
172.20.6.58,00-15-77-DB-88-70,n/a
172.20.6.62,EC-CD-6D-0E-BC-31,n/a
172.20.6.66,EC-CD-6D-18-31-61,n/a
172.20.6.70,00-00-CD-29-9C-11,n/a
172.20.6.72,EC-CD-6D-0C-A7-93,n/a
172.20.6.73,00-15-77-F2-7E-3E,n/a
172.20.6.85,EC-CD-6D-0E-A8-2C,n/a
172.20.6.100,EC-CD-6D-1C-C4-1B,n/a
172.20.6.103,EC-CD-6D-0C-A1-85,n/a
172.20.6.104,EC-CD-6D-0C-C3-04,n/a
172.20.6.105,EC-CD-6D-0E-8E-4B,n/a
172.20.6.106,EC-CD-6D-0E-A7-4B,n/a
172.20.6.108,EC-CD-6D-18-2D-47,n/a
172.20.6.109,EC-CD-6D-0E-CE-BF,n/a
172.20.6.110,EC-CD-6D-0E-A8-5E,n/a
172.20.6.111,EC-CD-6D-0E-A8-C2,n/a
172.20.6.123,00-0C-42-A6-36-4B,n/a
172.20.6.124,00-0C-42-A6-36-5A,n/a
172.20.6.125,EC-CD-6D-0E-A8-A9,n/a
172.20.6.128,00-15-77-DB-88-BD,n/a
